evt,grp,lnk,attendees,maploc,city,subcity,state,street,subcity_lat,subcity_lng,city_id
Thursday Night Weekly Jam  -- 6 to 8pm,JC Studios Music Jam,https://www.meetup.com/JC-Studios-Music-Jam/events/275777858,1,https://www.google.com/maps/search/api=1&query=40.719975%2C-74.045036,Newark,Jersey City,NJ,143 Christopher Columbus Dr,40.717040000000004,-74.03389,2
"Tuesdays are our regularly scheduled rehearsals, guests are welcome.",Dapper Dans of Harmony,https://www.meetup.com/Dapper-Dans-of-Harmony/events/275734985,2,https://www.google.com/maps/search/api=1&query=326+Bloomfield+Ave%2C+Caldwell%2C+NJ%2C+us,Newark,Caldwell,NJ,326 Bloomfield Ave,40.8338301,-74.27274940000001,2
Learn To Sing Harmony and Enjoy Performing In NYC,Big Apple Chorus,https://www.meetup.com/Big-Apple-Chorus/events/275572844,4,https://www.google.com/maps/search/api=1&query=40.746433%2C-73.981026,Newark,New York,NY,111 East 33rd St.,40.746303000000005,-73.981473,3
UPDATE: SING-ACT-PLAY Private Lessons/Events for Singers/Actors/Instrumentalists,SOMETHING TO SING ABOUT IN NEW YORK,https://www.meetup.com/SOMETHING-TO-SING-ABOUT-IN-NEW-YORK/events/275725524,1,https://www.google.com/maps/search/api=1&query=40.760002%2C-73.994858,Newark,New York,NY,484 W 43rd St,40.760115,-73.994114,3
Fridays at Clifton City Tavern Mexican Cantina ,North Jersey Karaoke Klub,https://www.meetup.com/North-Jersey-Karaoke-Klub/events/275790160,1,https://www.google.com/maps/search/api=1&query=40.859829%2C-74.151382,Newark,Clifton,NJ,709 Van Houten Ave,40.869398,-74.168913,2
Rise and Resist Meeting,Rise and Resist,https://www.meetup.com/rise-and-resist/events/275736050,1,https://www.google.com/maps/search/api=1&query=320+West+37th+Street%2C+Brooklyn%2C+ny%2C+10018%2C+us,Newark,Brooklyn,NY,320 West 37th Street,40.580849,-74.00397,3
Regular Meeting,Alternative Banking Group - Occupy Wall Street of NYC,https://www.meetup.com/Alternative-Banking-Group-Occupy-Wall-Street-of-NYC/events/275790763,2,https://www.google.com/maps/search/api=1&query=Cyberspace%2C+New+York%2C+ny%2C+10001%2C+us,Newark,New York,NY,Cyberspace,40.714269,-74.005973,3
Monthly Meetup ( Meet others passionate about permaculture and share projects).,The New York Permaculture Meetup,https://www.meetup.com/nycpermaculture/events/275771409,6,https://www.google.com/maps/search/api=1&query=1095+Sixth+Ave+%2C+New+York%2C+NY%2C+10018%2C+us,Newark,New York,NY,1095 Sixth Ave ,40.754842,-73.98411800000001,3
"Dismantle Patriarchy Art Contest for Students, deadline 2/28/21",Radical Feminist Activists,https://www.meetup.com/RadFemActivists/events/274910866,1,https://www.google.com/maps/search/api=1&query=New+York%2C+New+York%2C+ny%2C+10001%2C+us,Newark,New York,NY,New York,40.7127281,-74.0060152,3
Weekly Thursday Meetup,The Original Drinking Liberally NYC,https://www.meetup.com/drinkingliberallynyc/events/275777840,1,https://www.google.com/maps/search/api=1&query=40.760040%2C-73.991821,Newark,New York,NY,627 9th Avenue,40.761579499999996,-73.9905641,3
The Original Drinking Liberally Weekly Thursday Meetup,Drinking Liberally Downtown Brooklyn and NYC,https://www.meetup.com/Drinking-Liberally-Downtown-Brooklyn/events/275777821,1,https://www.google.com/maps/search/api=1&query=Rudy%27s+Bar+%26+Grill%2C+627+9th+Ave%2C+New+York%2C+NY%2C+10036%2C+us&query_place_id=ChIJOxerSlJYwokRPmpdLA4CpWI,Newark,New York,NY,627 9th Ave,40.761579499999996,-73.9905641,3
LGBT Women ,Come Out & Talk LGBT Females Forty & Up,https://www.meetup.com/Come-Out-Talk-LGBT-Females-Forty-Up/events/275240329,2,https://www.google.com/maps/search/api=1&query=600+Ridgewood+Rd%2C+Maplewood%2C+NJ%2C+07040%2C+us,Newark,Maplewood,NJ,600 Ridgewood Rd,40.730753,-74.2826,2
Black Lotus Project: A Virtual Gathering of Black Bisexual+ Men,NYC Tri-State Area Bisexual+ SGL Queer & Questioning Meetup,https://www.meetup.com/bisexual-nyc/events/275652731,4,https://www.google.com/maps/search/api=1&query=Virtual+Online+Meeting%2C+New+York%2C+ny%2C+10001%2C+us,Newark,New York,NY,Virtual Online Meeting,42.81143,-76.879806,3
"Book to be discussed:  ""Swimming in the Dark"" by Tomasz Jedrowski",NYC Gay Guys' Book Club,https://www.meetup.com/NYC-Gay-Guys-Book-Club/events/268036229,13,https://www.google.com/maps/search/api=1&query=40.734240%2C-73.999084,Newark,Manhattan,NY,425 Avenue of the Americas (Sixth Avenue and 10th Street,40.77427,-73.96981,3
Mnemophrenia by Eirini Konstantinidou,Oddball Cinema,https://www.meetup.com/Oddball-Cinema/events/274644312,4,https://www.google.com/maps/search/api=1&query=40.713417%2C-74.011930,Newark,New York,NY,250 Greenwich St Floor 46,40.7134054,-74.012074,3
EDH: Commander Deck,Maplewood Magic,https://www.meetup.com/Maplewood-Magic-The-Gathering-Meetup/events/275736004,1,https://www.google.com/maps/search/api=1&query=40.720135%2C-74.274269,Newark,Maplewood,NJ,1970 Springfield Ave,40.7201821,-74.27485329999999,2
Helix eSports Fortnite Friday - Squads Tournament ,Fortnite Friday Zone Wars NYC/NJ,https://www.meetup.com/Fortnite-NYC-NJ-Zone-Wars/events/275796010,1,https://www.google.com/maps/search/api=1&query=Helix+eSports+North+Bergen%2C+3167+John+F.+Kennedy+Blvd%2C+North+Bergen%2C+NJ%2C+07047%2C+us&query_place_id=ChIJOXjOj59XwokRB9sLlJpqFTY,Newark,North Bergen,NJ,3167 John F. Kennedy Blvd,40.775182,-74.03228399999999,2
