state,city,event_name,group_name,attendees,lat,lng,category,venue_event_link,event_street,Google_Map_Link,event_lat,event_lng,address
NY,New York,Private Hands on  Ultrasound Training in Regional Anesthesia & Pain Mgt.,Ultrasound Guided Interventional Pain & Regional Anesthesia,1,40.7127281,-74.0060152,Learning,https://www.meetup.com/ultrasound-guided-interventional-pain-regional-anesthesia/events/275896163,675 3rd Ave,https://www.google.com/maps/search/?api=1&query=Meet+in+Place+Midtown%2C+675+3rd+Ave%2C+New+York%2C+NY%2C+10017%2C+us&query_place_id=ChIJaerUsvlZwokRchP3UwiPvAA,40.7127281,-74.0060152,"""675 3rd Ave New York, NY"""
NY,New York,Jolly January,Humorous Toastmasters,3,40.7127281,-74.0060152,Learning,https://www.meetup.com/Toastmasters-New-York/events/275917096,Online,https://www.google.com/maps/search/?api=1&query=Online%2C+New+York%2C+ny%2C+10001%2C+us,40.6988321,-73.9946772,"""Online New York, NY"""
NJ,Teaneck,Socrates Cafe,"Socrates Cafe of Teaneck, NJ",9,40.8860164,-74.0072568,Learning,https://www.meetup.com/Socrates-Cafe-Teaneck/events/275419550,687 Larch Ave,https://www.google.com/maps/search/?api=1&query=40.888088%2C-74.026237,40.8976,-74.01597,"""687 Larch Ave Teaneck, NJ"""
NY,New York,ZOOM EVENT: HOW DOES SOCIAL CONTRACT THEORY GUIDE US?,Cafe Philo New York,2,40.7127281,-74.0060152,Learning,https://www.meetup.com/New-York-Cafe-Philo/events/275901201,10 South William St,https://www.google.com/maps/search/?api=1&query=40.704727%2C-74.010640,40.704804,-74.010394,"""10 South William St New York, NY"""
NY,New York,Toastmasters Meeting,Bay Ridge Toastmasters,1,40.7127281,-74.0060152,Learning,https://www.meetup.com/Bay-Ridge-Toastmasters/events/275896680,800 Poly Place,https://www.google.com/maps/search/?api=1&query=800+Poly+Place%2C+New+York%2C+NY%2C+11209%2C+us,40.607464,-74.0237384,"""800 Poly Place New York, NY"""
NY,New York,Photography thru The Museum of Modern Art,Michael Downey Photography,3,40.7127281,-74.0060152,Photography,https://www.meetup.com/MAD-Photo-Excursions/events/275653633,11 W 53rd St,https://www.google.com/maps/search/?api=1&query=40.761433%2C-73.977620,40.7127281,-74.0060152,"""11 W 53rd St New York, NY"""
NY,New York,"Studio & Lighting: Feb 24 - Mar 10, Wednesdays 6:00 PM-9:15 PM. In person.",PhotoManhattan - Photography classes NYC & Free Exhibits,1,40.7127281,-74.0060152,Photography,https://www.meetup.com/photography-classes-nyc/events/274851102,51 W 14th St #3r,https://www.google.com/maps/search/?api=1&query=40.737290%2C-73.995834,42.7245634,-73.7009225,"""51 W 14th St #3r New York, NY"""
NY,New York ,Brunch @Blvd Bistro,KINGZ,5,40.7127281,-74.0060152,LGBTQ,https://www.meetup.com/KINGZ-A-Black-Gay-Collective/events/275806244,2149 Frederick Douglass Blvd,https://www.google.com/maps/search/?api=1&query=2149+Frederick+Douglass+Blvd%2C+New+York+%2C+NY%2C+10026%2C+us,40.8042983,-73.9556901,"""2149 Frederick Douglass Blvd New York , NY"""
NY,New York,Black Lotus Project: A Virtual Gathering of Black Bisexual+ Men,NYC Tri-State Area Bisexual+ SGL Queer & Questioning Meetup,6,40.7127281,-74.0060152,LGBTQ,https://www.meetup.com/bisexual-nyc/events/275652731,Virtual Online Meeting,https://www.google.com/maps/search/?api=1&query=Virtual+Online+Meeting%2C+New+York%2C+ny%2C+10001%2C+us,42.81143,-76.879806,"""Virtual Online Meeting New York, NY"""
NY,Manhattan,"Book to be discussed:  ""Swimming in the Dark"" by Tomasz Jedrowski",NYC Gay Guys' Book Club,16,40.7896239,-73.9598939,LGBTQ,https://www.meetup.com/NYC-Gay-Guys-Book-Club/events/268036229,425 Avenue of the Americas (Sixth Avenue and 10th Street,https://www.google.com/maps/search/?api=1&query=40.734240%2C-73.999084,40.77427,-73.96981,"""425 Avenue of the Americas (Sixth Avenue and 10th Street Manhattan, NY"""
