event_name,group_name,attendees,category,venue_event_link,event_street,Google_Map_Link,event_lat,event_lng,address,city_id
Zelophead's Daughters:God changed the Law so they could be Landowners.,Kick-Ass Women of the Bible,1,Beliefs,https://www.meetup.com/Kick-Ass-Women-of-the-Bible/events/275864610,803 181st St @ Fort Washington Avenue,https://www.google.com/maps/search/api=1&query=803+181st+St+%40+Fort+Washington+Avenue%2C+New+York%2C+NY%2C+us,40.851006,-73.93833000000002,"803 181st St @ Fort Washington Avenue New York, NY",140
FREE!! Online Yoga ,"Westchester Yoga, Health & Wellness Meetup",1,Beliefs,https://www.meetup.com/Larchmont-Yoga-and-Mindfulness-Meetup/events/275888659,2444 Boston Post Road,https://www.google.com/maps/search/api=1&query=40.921860%2C-73.764519,40.9287259,-73.7510312,"2444 Boston Post Road Larchmont, NY",129
Monthly Reiki Share with Rev. Jyogan Hakata-Kohler,Namaste Bookshop & Healing Center Meetup Group NYC,1,Beliefs,https://www.meetup.com/NamasteBookshop/events/275834344,80 Fifth Avenue Suite 1104,https://www.google.com/maps/search/api=1&query=80+Fifth+Avenue+Suite+1104%2C+New+York%2C+NY%2C+us,43.0578486,-74.3354123,"80 Fifth Avenue Suite 1104 New York, NY",140
Platform: Video Games and Ethics,The Ethical Culture Society of Bergen County,4,Beliefs,https://www.meetup.com/EthicalFocus/events/275399427,687 Larch Ave,https://www.google.com/maps/search/api=1&query=40.888090%2C-74.026240,40.8885066,-74.02639140000002,"687 Larch Ave Teaneck, NJ",84
Focusing with Rob Parker  @ 6:30pm (before Zen),White Plains Zen Meditation,1,Beliefs,https://www.meetup.com/White-Plains-Zen-Meditation/events/275874278,82 Prospect St,https://www.google.com/maps/search/api=1&query=82+Prospect+St%2C+White+Plains%2C+NY%2C+10606%2C+us,41.019211,-73.772887,"82 Prospect St White Plains, NY",173
Sunday Celebration and Inspiration with Rev. Dr. Penny Macek,Center for Spiritual Living Rockland County,4,Beliefs,https://www.meetup.com/Rockland-Center-for-Spiritual-Living/events/275826769,32 Old Tappan Rd,https://www.google.com/maps/search/api=1&query=41.023743%2C-73.950470,41.0175285,-73.9431135,"32 Old Tappan Rd Tappan, NY",166
Monthly Forest Bathing at Sands Point Preserve,Long Island Forest Therapy & Wellness Walks Guided by Nature,2,Beliefs,https://www.meetup.com/LongIslandForestTherapyWalks/events/275373702,127 Middle Neck Rd,https://www.google.com/maps/search/api=1&query=40.855950%2C-73.700530,40.855741,-73.69903199999997,"127 Middle Neck Rd Sands Point, NY",153
Creating Art,The New York City Crochet/Knitting Meetup Group,3,Hobbies & Crafts,https://www.meetup.com/crochet-471/events/275865143,158 E 115th St,https://www.google.com/maps/search/api=1&query=East+Harlem+Neighborhood+Health+Action+Center%2C+158+E+115th+St%2C+New+York%2C+NY%2C+10029%2C+us&query_place_id=ChIJcdWICQb2wokR5p1lcQLBd9I,40.79776500000001,-73.94195500000002,"158 E 115th St New York, NY",140
Winter Hike Series: Old Croton Aqueduct Trail ,PLACES NYC,62,Social,https://www.meetup.com/placesnyc/events/275468145,Old Croton Aqueduct Trail,https://www.google.com/maps/search/api=1&query=Old+Croton+Aqueduct+Trail%2C+Old+Croton+Aqueduct+Trail%2C+Yonkers%2C+NY%2C+10705%2C+us&query_place_id=EitPbGQgQ3JvdG9uIEFxdWVkdWN0IFRyYWlsLCBZb25rZXJzLCBOWSwgVVNBIi4qLAoUChIJZxnfdfHywokR685LYUXbCNASFAoSCaGvQwkIwMKJEaLa2KSEc5a-,40.9418594,-73.89545720000002,"Old Croton Aqueduct Trail Yonkers, NY",175
Friday Parties @ DL Rooftop/ Slate/Vnyl,Singles NYC International,3,Social,https://www.meetup.com/Singles-NYC-International/events/275473516,95 Delancey Street (On the corner of Delancey & Ludlow),https://www.google.com/maps/search/api=1&query=95+Delancey+Street+%28On+the+corner+of+Delancey+%26+Ludlow%29%2C+New+York%2C+NY%2C+us,40.71871,-73.989236,"95 Delancey Street (On the corner of Delancey & Ludlow) New York, NY",140
NYC Active Singles  Westchester  healthy walk,New York City  Active  Singles meetup Meetup  Group,32,Social,https://www.meetup.com/New-York-City-Couchsurfing-Meetup-Group/events/272601227,198 Central Avenue,https://www.google.com/maps/search/api=1&query=198+Central+Avenue%2C+White+Plains%2C+NY%2C+10606%2C+us,41.0339862,-73.76290970000002,"198 Central Avenue White Plains, NY",173
Donate a Painting ,Evenings and Weekends in New York City,2,Social,https://www.meetup.com/E-W-N-Y-C/events/275872515,123 W 115th St,https://www.google.com/maps/search/api=1&query=Faces+NY%2C+123+W+115th+St%2C+New+York%2C+NY%2C+10026%2C+us&query_place_id=ChIJ1Uqi-xD2wokRoS8jC_p0DR0,40.802267,-73.95168699999998,"123 W 115th St New York, NY",140
Event Organizers Wanted!,NYC Networking & Social Events!,1,Social,https://www.meetup.com/Networking-parties/events/275875425,TBA,https://www.google.com/maps/search/api=1&query=40.812218%2C-73.950676,40.7111986,-73.96637729999998,"TBA NYC, NY",138
"Osceola Tug Hill Cross Country Skiing,Osceola, NY",Hiking Mates of the Capital Region,20,Outdoors & Adventure,https://www.meetup.com/hikingmates/events/275718422,93 W Campbell Rd,https://www.google.com/maps/search/api=1&query=42.809135%2C-73.989970,42.234777,-77.185447,"93 W Campbell Rd Schenectady, NY",156
Regular meetings Tuesday nights!  All are welcome!,Ballston Lake Self-Improvement Meetup Group,2,Health & Wellness,https://www.meetup.com/Ballston-Lake-Self-Improvement-Meetup-Group/events/275075342,9 Burning Bush Blvd,https://www.google.com/maps/search/api=1&query=9+Burning+Bush+Blvd%2C+9+Burning+Bush+Blvd%2C+Ballston+Lake%2C+NY%2C+12019%2C+us&query_place_id=ChIJdwV8ihYV3okREhkFLlL4LYY,42.911669,-73.815776,"9 Burning Bush Blvd Ballston Lake, NY",103
Walk in the Pine Bush Neighborhoods ,"Walk for Fun, Fitness and Friendship",8,Sports & Fitness,https://www.meetup.com/WALK-FOR-FUN-FITNESS-AND-FRIENDSHIP/events/275803792,3437 Carman Road,https://www.google.com/maps/search/api=1&query=3437+Carman+Road%2C+Schenectady%2C+NY%2C+12303%2C+us,42.7651984,-73.9389281,"3437 Carman Road Schenectady, NY",156
