event_link,event_state,event_city,event_street,Google_Map_Link
https://www.meetup.com/Belleville-NJ-Salsa-Dance-Lessons-Meetup/events/275761444, ,Belleville,371 Franklin Ave,https://www.google.com/maps/search/?api=1&query=371+Franklin+Ave%2C+Belleville%2C+NJ%2C+US
https://www.meetup.com/jerseycityballroom/events/275779840,NJ,Jersey City,"189 Brunswick St, 3rd Floor",https://www.google.com/maps/search/?api=1&query=40.726357%2C-74.050415
https://www.meetup.com/NYCBellydancers/events/275715090,NY,New York,265 W 37th St,https://www.google.com/maps/search/?api=1&query=40.753696%2C-73.991020
https://www.meetup.com/NYC-Bachata-Meet-Up-Bachata-New-York-City/events/275793305,NJ,Hoboken,300 Observer Hwy,https://www.google.com/maps/search/?api=1&query=40.736469%2C-74.035339
https://www.meetup.com/NYC-Date-Nights-Out/events/275714381,ny,New York,500 8th ave 3rd fl,https://www.google.com/maps/search/?api=1&query=500+8th+ave+3rd+fl%2C+New+York%2C+ny%2C+10018%2C+us
https://www.meetup.com/Sensual-Bachata-in-New-York-Sensual-Movement/events/275757633,NY,New York,520 8th Ave 16th Fl 10018,https://www.google.com/maps/search/?api=1&query=40.753647%2C-73.991936
https://www.meetup.com/Tango-Date-NYC/events/275734198,NY,New York,109 E 9th St,https://www.google.com/maps/search/?api=1&query=40.730453%2C-73.989944
https://www.meetup.com/Bayonne-Singles-with-Four-Paws/events/275773329,nj,Bayonne,185 John F. Kennedy Blvd,https://www.google.com/maps/search/?api=1&query=40.652687%2C-74.135208
https://www.meetup.com/Rockinknitters-Meetup-Group/events/275229619,NJ,Union,1023 Stuyvesant Ave,https://www.google.com/maps/search/?api=1&query=40.696686%2C-74.268845
https://www.meetup.com/omgnyc/events/275736462, ,New York,452 5th Avenue,https://www.google.com/maps/search/?api=1&query=40.751881%2C-73.982346
https://www.meetup.com/Current-Events-Coffee/events/275393093,ny,New York,Internet,https://www.google.com/maps/search/?api=1&query=40.699646%2C-74.041466
https://www.meetup.com/jerseychess/events/275648165,NJ,Hoboken,1012 Grand St,https://www.google.com/maps/search/?api=1&query=40.750076%2C-74.032990
https://www.meetup.com/placesnyc/events/275538899,NY,New York,Hudson River Greenway,https://www.google.com/maps/search/?api=1&query=40.711903%2C-74.014694
https://www.meetup.com/Social-Sidekicks-45/events/269310348, , , , 
https://www.meetup.com/classy-dimes-nyc/events/275615173,NY,New York ,558 Broadway Avenue,https://www.google.com/maps/search/?api=1&query=558+Broadway+Avenue%2C+New+York+%2C+NY%2C+10012%2C+us
https://www.meetup.com/tall-14/events/274933931, , , , 
https://www.meetup.com/20s-and-30s-Going-Out-Group-of-Pittsburgh/events/275588682,ny,New York,Online,https://www.google.com/maps/search/?api=1&query=Online%2C+New+York%2C+ny%2C+10001%2C+us
https://www.meetup.com/NYC-Social/events/268950829,NY,New York,38 Park Row #4,https://www.google.com/maps/search/?api=1&query=40.711586%2C-74.006680
https://www.meetup.com/NYC-Lets-Do-Things-After-Work-20s-and-30s/events/269315957,NY,New York,44 W 17th St,https://www.google.com/maps/search/?api=1&query=40.738667%2C-73.994500
https://www.meetup.com/NYC-Girlfriend-Get-Togethers/events/274426830,NY,New York,350 W 50th St,https://www.google.com/maps/search/?api=1&query=40.762880%2C-73.987976
https://www.meetup.com/bayridgefriends/events/275740701,NY,New York,405 W 44th St,https://www.google.com/maps/search/?api=1&query=40.760090%2C-73.992110
https://www.meetup.com/meetup-group-IBRUrHMn/events/275763588,NY,New York,116 10th Ave,https://www.google.com/maps/search/?api=1&query=Avenue%2C+116+10th+Ave%2C+New+York%2C+NY%2C+10011%2C+us&query_place_id=ChIJe4WSV8dZwokRZbIzXHt6-j4
