,state,city,category,event_name,group_name,attendees,lat,lng,population,venue_event_link,event_state,event_city,event_street,Google_Map_Link
712,NJ,Fort Lee,Learning,B2B Virtual Networking Event: How to Achieve Future Goals Right Now,Bergen Community College Education and Events,1,40.8509,-73.9712,38605,https://www.meetup.com/Bergen-Community-College-Education-and-Events/events/275844257,NJ,Paramus,400 Paramus Rd,https://www.google.com/maps/search/?api=1&query=40.950874%2C-74.088180
714,NJ,Fort Lee,Learning,Jolly January,Humorous Toastmasters,3,40.8509,-73.9712,38605,https://www.meetup.com/Toastmasters-New-York/events/275917096,NY,New York,Online,https://www.google.com/maps/search/?api=1&query=Online%2C+New+York%2C+ny%2C+10001%2C+us
715,NJ,Fort Lee,Photography,Photography thru The Met,Michael Downey Photography,1,40.8509,-73.9712,38605,https://www.meetup.com/MAD-Photo-Excursions/events/275653524,NY,New York,1000 5th Avenue,https://www.google.com/maps/search/?api=1&query=40.782570%2C-73.965470
716,NJ,Fort Lee,Photography,"Studio & Lighting: Feb 24 - Mar 10, Wednesdays 6:00 PM-9:15 PM. In person.",PhotoManhattan - Photography classes NYC & Free Exhibits,1,40.8509,-73.9712,38605,https://www.meetup.com/photography-classes-nyc/events/274851102,NY,New York,51 W 14th St #3r,https://www.google.com/maps/search/?api=1&query=40.737290%2C-73.995834
717,NJ,Fort Lee,Movements,Monthly 350NYC Meeting,350NYC,5,40.8509,-73.9712,38605,https://www.meetup.com/350-org-New-York/events/275896975,NY,New York,2 West 64th Street (At Central Park West),https://www.google.com/maps/search/?api=1&query=40.771156%2C-73.979690
718,NJ,Fort Lee,Movements,Regular Meeting,Alternative Banking Group - Occupy Wall Street of NYC,2,40.8509,-73.9712,38605,https://www.meetup.com/Alternative-Banking-Group-Occupy-Wall-Street-of-NYC/events/275790758,NY,New York,Cyberspace,https://www.google.com/maps/search/?api=1&query=Cyberspace%2C+New+York%2C+ny%2C+10001%2C+us
719,NJ,Fort Lee,Movements,Rise and Resist Meeting,Rise and Resist,1,40.8509,-73.9712,38605,https://www.meetup.com/rise-and-resist/events/275876132,NY,Brooklyn,320 West 37th Street,https://www.google.com/maps/search/?api=1&query=320+West+37th+Street%2C+Brooklyn%2C+ny%2C+10018%2C+us
720,NJ,Fort Lee,Movements,Monthly Meetup ( Meet others passionate about permaculture and share projects).,The New York Permaculture Meetup,6,40.8509,-73.9712,38605,https://www.meetup.com/nycpermaculture/events/275771409,NY,New York,1095 Sixth Ave ,https://www.google.com/maps/search/?api=1&query=1095+Sixth+Ave+%2C+New+York%2C+NY%2C+10018%2C+us
721,NJ,Fort Lee,Movements,"Volunteer with 10,000 PB&Js",Volunteer NYC,2,40.8509,-73.9712,38605,https://www.meetup.com/volunteernyc/events/275837257,NY,New York,32nd Street and 7th Avenue,https://www.google.com/maps/search/?api=1&query=32nd+Street+and+7th+Avenue%2C+New+York%2C+NY%2C+10001%2C+us
722,NJ,Fort Lee,Movements,An-Cap After Work,New York Anarcho-Capitalist Meetup,1,40.8509,-73.9712,38605,https://www.meetup.com/nycancap/events/275897559,NY,New York,10 West 33rd Street,https://www.google.com/maps/search/?api=1&query=10+West+33rd+Street%2C+New+York%2C+NY%2C+us
723,NJ,Fort Lee,Movements,The Original Drinking Liberally Weekly Thursday Meetup,Drinking Liberally Downtown Brooklyn and NYC,1,40.8509,-73.9712,38605,https://www.meetup.com/Drinking-Liberally-Downtown-Brooklyn/events/275918383,NY,New York,627 9th Ave,https://www.google.com/maps/search/?api=1&query=Rudy%27s+Bar+%26+Grill%2C+627+9th+Ave%2C+New+York%2C+NY%2C+10036%2C+us&query_place_id=ChIJOxerSlJYwokRPmpdLA4CpWI
724,NJ,Fort Lee,Movements,Weekly Thursday Meetup,The Original Drinking Liberally NYC,1,40.8509,-73.9712,38605,https://www.meetup.com/drinkingliberallynyc/events/275918400,NY,New York,627 9th Avenue,https://www.google.com/maps/search/?api=1&query=40.760040%2C-73.991821
726,NJ,Fort Lee,Movements,MONTHLY NOnprofit and volunteering networking,NYC Non-Profit Meetup Club (NYCNP),1,40.8509,-73.9712,38605,https://www.meetup.com/NYCNonprofit/events/275895490,NY,New York,321 W 44th St #103,https://www.google.com/maps/search/?api=1&query=40.759132%2C-73.989899
728,NJ,Fort Lee,Movements,Stay strong being alive in NYC!!!,The Neighbors,0,40.8509,-73.9712,38605,https://www.meetup.com/The-Neighbors/events/275824985,NY,Astoria,46-09 31st Ave,https://www.google.com/maps/search/?api=1&query=46-09+31st+Ave%2C+Astoria%2C+NY%2C+11103%2C+us
730,NJ,Fort Lee,Movements,"Dismantle Patriarchy Art Contest for Students, deadline 2/28/21",Radical Feminist Activists,1,40.8509,-73.9712,38605,https://www.meetup.com/RadFemActivists/events/274910866,NY,New York,New York,https://www.google.com/maps/search/?api=1&query=New+York%2C+New+York%2C+ny%2C+10001%2C+us
731,NJ,Fort Lee,Movements,The Truth About Covid 19 Vaccines and Health Freedom,"Queens Libertarians (Founded October 6, 1994)",1,40.8509,-73.9712,38605,https://www.meetup.com/QueensLibertarians/events/275753509,NY,WHITESTONE,150-11 14th Avenue,https://www.google.com/maps/search/?api=1&query=40.789234%2C-73.813416
732,NJ,Fort Lee,LGBTQ,Brunch @Blvd Bistro,KINGZ,5,40.8509,-73.9712,38605,https://www.meetup.com/KINGZ-A-Black-Gay-Collective/events/275806244,NY,New York ,2149 Frederick Douglass Blvd,https://www.google.com/maps/search/?api=1&query=2149+Frederick+Douglass+Blvd%2C+New+York+%2C+NY%2C+10026%2C+us
